Onset,stim
10235.009,rh
10247.164,cue
10250.136,lf
10262.291,cue
10265.264,t
10277.419,cue
10280.391,rf
10292.546,cue
10295.518,lh
10307.518,fix
10322.667,cue
10325.639,t
10337.794,cue
10340.766,lf
10352.921,cue
10355.894,rh
10367.894,fix
10383.043,cue
10386.015,lh
10398.17,cue
10401.142,rf
10413.142,fix
10428.48,fix
10436.53,cue
10439.489,lh
10451.644,cue
10454.616,rf
10466.616,fix
10481.778,cue
10484.737,t
10496.892,cue
10499.864,lf
10512.019,cue
10514.992,rh
10526.992,fix
10542.141,cue
10545.113,lh
10557.268,cue
10560.24,t
10572.395,cue
10575.367,rf
10587.522,cue
10590.494,rh
10602.649,cue
10605.621,lf
10617.621,fix
10632.96,fix
10641.01,cue
10643.969,rh
10656.124,cue
10659.096,lf
10671.251,cue
10674.224,t
10686.379,cue
10689.351,rf
10701.506,cue
10704.478,lh
10716.478,fix
10731.627,cue
10734.599,t
10746.754,cue
10749.726,lf
10761.881,cue
10764.854,rh
10776.854,fix
10792.003,cue
10794.975,lh
10807.13,cue
10810.102,rf
10822.102,fix
10837.44,fix
10845.49,cue
10848.449,lh
10860.604,cue
10863.576,rf
10875.576,fix
10890.738,cue
10893.697,t
10905.852,cue
10908.824,lf
10920.979,cue
10923.952,rh
10935.952,fix
10951.101,cue
10954.073,lh
10966.228,cue
10969.2,t
10981.355,cue
10984.327,rf
10996.482,cue
10999.454,rh
11011.609,cue
11014.581,lf
11026.581,fix
11041.92,fix
11049.97,cue
11052.929,rh
11065.084,cue
11068.056,lf
11080.211,cue
11083.184,t
11095.339,cue
11098.311,rf
11110.466,cue
11113.438,lh
11125.438,fix
11140.587,cue
11143.559,t
11155.714,cue
11158.686,lf
11170.841,cue
11173.814,rh
11185.814,fix
11200.963,cue
11203.935,lh
11216.09,cue
11219.062,rf
11231.062,fix
11246.4,fix
11254.45,cue
11257.409,lh
11269.564,cue
11272.536,rf
11284.536,fix
11299.698,cue
11302.657,t
11314.812,cue
11317.784,lf
11329.939,cue
11332.912,rh
11344.912,fix
11360.061,cue
11363.033,lh
11375.188,cue
11378.16,t
11390.315,cue
11393.287,rf
11405.442,cue
11408.414,rh
11420.569,cue
11423.541,lf
11435.541,fix
11450.88,fix
11458.93,cue
11461.889,rh
11474.044,cue
11477.016,lf
11489.171,cue
11492.144,t
11504.299,cue
11507.271,rf
11519.426,cue
11522.398,lh
11534.398,fix
11549.547,cue
11552.519,t
11564.674,cue
11567.646,lf
11579.801,cue
11582.774,rh
11594.774,fix
11609.923,cue
11612.895,lh
11625.05,cue
11628.022,rf
11640.022,fix
11655.36,fix
11663.41,cue
11666.369,lh
11678.524,cue
11681.496,rf
11693.496,fix
11708.658,cue
11711.617,t
11723.772,cue
11726.744,lf
11738.899,cue
11741.872,rh
11753.872,fix
11769.021,cue
11771.993,lh
11784.148,cue
11787.12,t
11799.275,cue
11802.247,rf
11814.402,cue
11817.374,rh
11829.529,cue
11832.501,lf
11844.501,fix
11859.84,fix
11867.89,cue
11870.849,rh
11883.004,cue
11885.976,lf
11898.131,cue
11901.104,t
11913.259,cue
11916.231,rf
11928.386,cue
11931.358,lh
11943.358,fix
11958.507,cue
11961.479,t
11973.634,cue
11976.606,lf
11988.761,cue
11991.734,rh
12003.734,fix
12018.883,cue
12021.855,lh
12034.01,cue
12036.982,rf
12048.982,fix
12064.32,fix
12072.37,cue
12075.329,lh
12087.484,cue
12090.456,rf
12102.456,fix
12117.618,cue
12120.577,t
12132.732,cue
12135.704,lf
12147.859,cue
12150.832,rh
12162.832,fix
12177.981,cue
12180.953,lh
12193.108,cue
12196.08,t
12208.235,cue
12211.207,rf
12223.362,cue
12226.334,rh
12238.489,cue
12241.461,lf
12253.461,fix
12268.461,fix
12276.511,cue
12279.47,rh
12291.625,cue
12294.597,lf
12306.752,cue
12309.725,t
12321.88,cue
